window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
1,2017-01-04,2019-01-04,22,False,False,False,0,0.4325,0.6471,"[2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 2, 1, 2]","[2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 2, 2, 0, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",1.0,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
2,2017-02-03,2019-02-05,14,False,False,True,1,0.3143,0.4286,"[2, 0, 0, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 0]","[2, 2, 0, 0, 2, 0, 1, 0, 2, 1, 2, 0, 0, 2, 0, 2, 2, 0, 2, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",1.0,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
3,2017-03-07,2019-03-07,19,False,False,True,2,0.4769,0.625,"[0, 0, 2, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 1, 1, 2]","[0, 0, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 1]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",1.0,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
4,2017-04-05,2019-04-05,15,False,False,False,3,0.4269,0.5833,"[2, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0]","[2, 2, 0, 2, 0, 2, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 0, 2, 0, 1, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8421,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
5,2017-05-05,2019-05-07,15,False,False,False,4,0.4469,0.6667,"[0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2]","[0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8167,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
6,2017-06-06,2019-06-06,15,False,False,False,5,0.3557,0.5625,"[2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 1]","[2, 2, 2, 2, 0, 0, 0, 2, 1, 1, 2, 2, 0, 0, 2, 2, 0, 1, 0, 2, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9375,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
7,2017-07-06,2019-07-08,26,True,True,False,0,0.3578,0.4118,"[0, 1, 2, 1, 2, 1, 0, 0, 2, 0, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 1, 1, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 0, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.6914,"{""(7, 6, 1)"": 0.333, ""(6, 6, 4)"": 0.333, ""(6, 8, 0)"": 0.333, ""(8, 8, 2)"": 0.333, ""(9, 3, 3)"": 0.333, ""(3, 5, 2)"": 0.333, ""(9, 0, 4)"": 0.333, ""(6, 6, 3)"": 0.333, ""(3, 6, 0)"": 0.333, ""(6, 7, 1)"": 0.333, ""(7, 6, 5)"": 0.333, ""(7, 10, 5)"": 0.333, ""(6, 7, 0)"": 0.667}",,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
8,2017-08-04,2019-08-06,24,False,False,True,1,0.5177,0.6471,"[2, 1, 2, 0, 0, 2, 0, 1, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 1, 0, 2]","[0, 0, 1, 2, 0, 2, 0, 0, 2, 2, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7222,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
9,2017-09-05,2019-09-05,19,False,True,True,2,0.3111,0.6154,"[2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2]","[2, 2, 2, 2, 0, 2, 0, 0, 0, 2, 2, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7419,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
10,2017-10-04,2019-10-04,21,False,False,False,3,0.3974,0.6667,"[2, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 0, 2, 1, 2, 2, 1, 2, 0, 2]","[2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.6882,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
11,2017-11-02,2019-11-04,16,True,True,False,0,0.4648,0.3636,"[2, 1, 1, 2, 1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 0]","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.7179,"{""(7, 8, 4)"": 0.333, ""(0, 3, 3)"": 0.333, ""(0, 2, 1)"": 0.333, ""(1, 0, 1)"": 0.667, ""(6, 8, 0)"": 0.667, ""(9, 0, 4)"": 0.333, ""(3, 6, 0)"": 0.667, ""(1, 9, 0)"": 0.333, ""(2, 9, 0)"": 0.333, ""(6, 6, 2)"": 0.333, ""(1, 8, 3)"": 0.333, ""(7, 7, 3)"": 0.667, ""(6, 7, 0)"": 0.333}",,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
12,2017-12-04,2019-12-04,16,False,False,True,1,0.5408,0.3636,"[2, 1, 2, 0, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 0, 1, 2, 0]","[1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 0, 1, 1, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.7681,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
13,2018-01-04,2020-01-06,19,False,True,True,2,0.4778,0.4667,"[2, 0, 2, 2, 0, 2, 0, 1, 2, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 2, 2]","[0, 1, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.8947,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
14,2018-02-05,2020-02-05,17,False,False,False,3,0.6673,0.8235,"[2, 1, 0, 2, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]","[2, 2, 0, 0, 2, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.8667,{},,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,rf
