window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
1,2017-01-04,2019-01-04,22,False,False,False,0,0.4534,0.8235,"[2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 2, 1, 2]","[2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2, 0, 2, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
2,2017-02-03,2019-02-05,14,False,False,True,1,0.3355,0.6429,"[2, 0, 0, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
3,2017-03-07,2019-03-07,19,False,False,True,2,0.5528,0.75,"[0, 0, 2, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 1, 1, 2]","[0, 0, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
4,2017-04-05,2019-04-05,15,False,False,False,3,0.4742,0.6667,"[2, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0]","[2, 2, 0, 0, 2, 2, 1, 2, 0, 1, 2, 1, 0, 2, 0, 2, 0, 2, 0, 2, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
5,2017-05-05,2019-05-07,15,False,False,False,4,0.7529,0.7619,"[0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2]","[0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
6,2017-06-06,2019-06-06,15,False,False,False,5,0.3641,0.6875,"[2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 1]","[2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
7,2017-07-06,2019-07-08,26,True,True,False,0,0.3185,0.4706,"[0, 1, 2, 1, 2, 1, 0, 0, 2, 0, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 2, 1, 0, 1, 0, 0, 2, 2, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
8,2017-08-04,2019-08-06,24,False,True,True,1,0.4889,0.8235,"[2, 1, 2, 0, 0, 2, 0, 1, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 1, 0, 2]","[0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
9,2017-09-05,2019-09-05,19,False,False,True,2,0.3333,0.6154,"[2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2]","[2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
10,2017-10-04,2019-10-04,21,False,False,False,3,0.5482,0.6667,"[2, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 0, 2, 1, 2, 2, 1, 2, 0, 2]","[2, 2, 0, 2, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 1, 0, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
11,2017-11-02,2019-11-04,16,False,False,False,4,0.5329,0.6364,"[2, 1, 1, 2, 1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 0]","[2, 2, 0, 2, 2, 1, 0, 1, 0, 2, 0, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
12,2017-12-04,2019-12-04,16,False,False,False,5,0.5637,0.5833,"[2, 1, 2, 0, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 0, 1, 2, 0]","[2, 2, 2, 0, 2, 0, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
13,2018-01-04,2020-01-06,19,False,False,False,6,0.4206,0.4118,"[2, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 1, 1, 0, 0, 2, 1, 2, 0, 2, 2]","[0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
14,2018-02-05,2020-02-05,17,False,False,False,7,0.496,0.8333,"[2, 2, 0, 2, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]","[2, 2, 0, 0, 2, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
15,2018-03-07,2020-03-06,25,False,False,False,8,0.5206,0.8,"[0, 0, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
16,2018-04-06,2020-04-06,26,False,False,False,9,0.3926,0.7222,"[2, 1, 2, 2, 0, 2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 0, 2, 0, 0, 1, 2]","[2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
17,2018-05-07,2020-05-06,30,False,False,False,10,0.2889,0.5789,"[0, 2, 2, 1, 0, 0, 2, 2, 2, 0, 2, 0, 1, 2, 2, 0, 2, 2, 2, 2, 0]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
18,2018-06-06,2020-06-05,20,False,False,False,11,0.5313,0.85,"[2, 2, 0, 0, 0, 2, 2, 2, 0, 1, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2]","[2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
19,2018-07-06,2020-07-07,28,False,False,False,12,0.4374,0.7,"[0, 2, 0, 2, 0, 2, 2, 0, 2, 2, 1, 2, 0, 0, 2, 0, 2, 0, 2, 2, 2]","[2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,perf_drop_0.2_lookback_3,lr
